Id,ORGANIZATION,NAME,GENDER,SPECIALITY,ADDRESS,CITY,STATE,ZIP,LAT,LON,UTILIZATION
d8d1f697-f264-3b6a-a10e-04d7e5a0cd1e,40b5cce7-3afc-3a7b-a324-d62a48cc18c2,Lianne Fay,F,GENERAL PRACTICE,5200 HARRY HINES BLVD,DALLAS,TX,75235,32.794176,-96.765503,95
1f511a7c-c3d1-3674-9456-7afce7a007f4,93f6f73c-9677-3ff9-b4ff-0baa1861de64,Antonia Stark,M,GENERAL PRACTICE,3500 GASTON AVE,DALLAS,TX,75246,32.794176,-96.765503,95
f0908644-4732-3e9a-89b3-a2e78ca43f33,f41e0449-42d3-3453-bec5-c640e309954d,Lorena Carmona,F,GENERAL PRACTICE,6201 HARRY HINES BLVD,DALLAS,TX,75390,32.794176,-96.765503,171
6eb9f1bd-0579-3334-b68a-8a4cba5c6e1e,b91439ac-cd5d-3250-a739-69e157e77d97,Fabian Walsh,M,GENERAL PRACTICE,1441 NORTH BECKLEY AVENUE,DALLAS,TX,75203,32.794176,-96.765503,192
d18badb1-778e-3113-8ed9-be1725812bce,ffa9098e-a3f8-3c4d-a31a-244fe8c307ed,Miquel Hettinger,M,GENERAL PRACTICE,1901 N MACARTHUR BLVD,IRVING,TX,75061,32.857748,-96.970022,526
e843b13a-33a4-38c5-9493-4f07d3594035,bfcad1d6-28fb-306d-9e45-33204b8e300d,María Eugenia Alonso,F,GENERAL PRACTICE,2300 MARIE CURIE DRIVE,GARLAND,TX,75042,32.909826,-96.630357,482
19dcebfb-fa62-3cf2-8e89-6042ac0ae0ff,dae7ca29-fe09-3bd3-81ad-59f578cbb65d,Benito Barrientos,M,GENERAL PRACTICE,7 MEDICAL PARKWAY,DALLAS,TX,75234,32.794176,-96.765503,6
170f4944-58cc-3726-ba4b-9ce8fe49f7e6,94f3192b-e7e0-3695-b494-cef3dcfbf99e,Vance Pacocha,M,GENERAL PRACTICE,2727 EAST LEMMON AVENUE BUILDING I,DALLAS,TX,75204,32.794176,-96.765503,48
12c33cd3-1b7c-3ad6-b2c1-fcc36f368d50,8cbe8b47-7558-32b2-aadc-5700dcd5d67a,Toi Hermiston,F,GENERAL PRACTICE,8200 WALNUT HILL LANE,DALLAS,TX,75231,32.794176,-96.765503,42
da64d16d-c082-3c77-a128-46033a467ad2,9644ee78-f077-3f62-ad8a-000e0491d6ad,Marilu Balderas,F,GENERAL PRACTICE,2831 E PRESIDENT GEORGE BUSH HIGHWAY,RICHARDSON,TX,75082,32.972291,-96.708069,64
7954b310-d9ab-32ce-af99-051cd06f122f,e5d64260-9713-3214-9a5a-700f26ba36be,Ranee Bechtelar,F,GENERAL PRACTICE,1650 W COLLEGE ST,GRAPEVINE,TX,76051,32.934107,-97.076533,34
68d32ec3-9c69-3edc-b001-9ac67a24beca,36802793-80e1-3d0c-8fc5-0c14b0b870f3,Andres Bruen,M,GENERAL PRACTICE,7777 FOREST LANE,DALLAS,TX,75230,32.794176,-96.765503,43
def28b2d-58e5-3cde-81af-07c732a30a45,46835086-4d63-39de-981c-76ccf867e162,Everett Wyman,M,GENERAL PRACTICE,3901 W 15TH ST,PLANO,TX,75075,33.050769,-96.747944,4
67f12239-df1c-3506-951e-b04a6ed6e648,de0effca-356b-30d1-916e-6c7915c3ffb0,Jeffrey Gulgowski,M,GENERAL PRACTICE,9440 POPPY DR,DALLAS,TX,75218,32.794176,-96.765503,42
c4c42ceb-11e9-3ec7-b63b-9e6cdfb97a22,f36ca2af-9a03-34f5-b4c6-0c9ff0f99997,Anita Atencio,F,GENERAL PRACTICE,1011 NORTH GALLOWAY AVENUE,MESQUITE,TX,75149,32.763903000000006,-96.592426,341
4d044f9c-25b7-37af-aec7-5a12dd837fd3,c2849104-0b8d-3582-8d80-daa30f8d6929,John Bode,M,GENERAL PRACTICE,3500 W WHEATLAND ROAD,DALLAS,TX,75237,32.794176,-96.765503,206
8fe2e994-523e-3fb0-9eb0-6d2bf5ef090f,5362504a-39fb-3bcc-8cdd-a8deecd57817,Danyell Crooks,F,GENERAL PRACTICE,4343 NORTH JOSEY LANE,CARROLLTON,TX,75010,32.98836,-96.89977,16
8089389e-afb2-3e90-b41e-96bbae8d5ea1,88b2cc0c-835e-378a-a2a0-1ed67de8b1d8,Rebekah Prosacco,F,GENERAL PRACTICE,6800 SCENIC DR,ROWLETT,TX,75088,32.915921999999995,-96.548673,786
5990656a-6057-3557-ade8-6598be468a6d,46f4e62e-50aa-3951-9b1b-9966068e0151,Ismael Konopelski,M,GENERAL PRACTICE,5151 HARRY HINES BLVD,DALLAS,TX,75390,32.794176,-96.765503,162
fe11de9a-faca-3a69-ba76-21085ce07c87,c5ae7d39-eadc-3acc-a347-e4da11e463f8,Carmen Schroeder,M,GENERAL PRACTICE,6200 W PARKER RD,PLANO,TX,75093,33.050769,-96.747944,1
8cb26c75-40cd-3b31-bba5-daab0b5b0969,ff5a7e24-07b9-3bff-920f-794656ad3df6,Barbie Trantow,F,GENERAL PRACTICE,6800 N MACARTHUR BLVD,IRVING,TX,75039,32.857748,-96.970022,352
0992fd41-1aef-3892-9348-f5326666b459,c0ea4dc3-ad5b-3ee4-be9e-fa50c982ba03,Heidi Fritsch,F,GENERAL PRACTICE,621 NORTH HALL STREET,DALLAS,TX,75226,32.794176,-96.765503,158
58dd9406-596d-396d-b274-8766b37175c8,fc183726-6e91-3b97-90cf-9508dbab6961,Martha Mills,F,GENERAL PRACTICE,400 WEST INTERSTATE 635 SUITE 101,IRVING,TX,75063,32.857748,-96.970022,489
9aee2876-e585-37d9-ac54-bd47a346f0b9,3555de2f-2880-3740-a5d9-5dcfb776931a,Carla Prosacco,F,GENERAL PRACTICE,7115 GREENVILLE AVENUE SUITE 100,DALLAS,TX,75231,32.794176,-96.765503,150
3c2ff3c0-916f-3ef0-9427-a07e2cfd0f62,ef124e4c-ff21-334c-9e0a-d382c4849edf,Marshall Flatley,M,GENERAL PRACTICE,4700 ALLIANCE BOULEVARD,PLANO,TX,75093,33.050769,-96.747944,7
f72498a6-d19a-3bc2-a29a-91ed2e7cd497,c68eee0d-f974-378f-ba0f-89254e5b13e4,Douglass Windler,M,GENERAL PRACTICE,9032 HARRY HINES BLVD,DALLAS,TX,75235,32.794176,-96.765503,140
1a294b35-02b9-3d04-b423-71413c51ede2,45adee44-d9a2-330a-9d8b-12e492c8baa4,Victoria Bañuelos,F,GENERAL PRACTICE,1935 MEDICAL DISTRICT DRIVE,DALLAS,TX,75235,32.794176,-96.765503,12
533d5923-3b79-3da1-82f7-e79e58f5758c,821408f5-74e4-3647-bc46-405c4f914fe3,Enola Rath,F,GENERAL PRACTICE,2222 WELBORN STREET,DALLAS,TX,75219,32.794176,-96.765503,137
